id,name,node,time,maxRSS
4477400,ccsd2_12_2n8d,frontier[06405-06406],00:02:23,
4477508,ccsd2_12_2n8d,frontier[06405-06406],00:02:32,
4477533,ccsd2_12_2n8d,frontier[06405-06406],00:02:48,
4477649,ccsd2_10_2n8d,frontier[09023,09033],00:02:04,
4486313,ccsd2_8_1n4d,frontier04013,00:01:13,
4486425,ccsd2_8_1n1d,frontier05624,00:00:49,
4487076,ccsd2_8_1n4d,frontier02559,00:01:27,
4488881,ccsd2_6_1n4d,frontier03747,00:01:17,
4489058,ccsd2_7_1n4d,frontier05077,00:02:16,
4489175,ccsd2_8_1n4d,frontier03488,00:01:06,
4489558,ccsd2_8_1n4d,frontier04852,00:01:12,
4489860,ccsd2_8_1n4d,frontier04522,00:01:10,
4489878,ccsd2_8_1n4d,frontier01719,00:01:08,
4490646,ccsd2_8_1n4d,frontier01067,00:01:06,
4491530,ccsd2_8_1n4d,frontier08801,00:01:12,
4491898,ccsd2_8_1n4d,frontier00625,00:01:17,
4491930,ccsd2_8_1n4d,frontier00625,00:01:49,
4492018,ccsd2_8_1n4d,frontier01010,00:01:10,
4492025,ccsd2_8_1n4d,frontier01084,00:01:03,
4587939,he4gs_6_1n1d,frontier03649,00:01:15,
4587940,he4gs_7_1n1d,frontier01737,00:01:31,
4587941,he4gs_8_1n1d,frontier03518,00:02:08,
4587950,he4gs_10_1n4d,frontier01811,00:01:53,
4587944,he4gs_10_1n1d,frontier05176,00:05:22,
4587951,he4gs_12_1n4d,frontier01812,00:05:55,
4588050,he4gs_4_1n1d,frontier04291,00:01:13,
4588644,he4gs_12_1n1d,frontier00085,00:00:52,
4588686,he4gs_5_1n1d,frontier08618,00:00:56,
4588729,li6gs_4_1n1d,frontier05712,00:01:23,
4588809,li6gs_5_1n1d_diis0,frontier08437,00:00:45,
4588808,li6gs_4_1n1d_diis0,frontier05712,00:01:30,
4588826,li6gs_10_1n1d_diis0,frontier07680,00:00:41,
4588820,li6gs_6_1n1d_diis0,frontier06784,00:01:38,
4588824,li6gs_7_1n1d_diis0,frontier07422,00:03:21,
4588825,li6gs_8_1n1d_diis0,frontier07679,00:07:28,
4588848,be8gs_8_1n1d_diis0,frontier00855,00:04:14,
4588893,be8gs_8_1n4d_diis0,frontier00265,00:04:15,
